Product Name,Model,Price,Quantity,Status,Image,Description
Necklace with colour stone 2 ( without Diamond),قلب حجر الروبي 2 ( بدون ألماس ) ,75.0000,1,,,
Necklace with colour stone 2 ( without Diamond),قلب حجر الروبي 2 ( بدون ألماس ) ,45.0000,1,,,
PAMP 5 gram Arabian Horse 999.9,سبيكة الحصان العربي بامب 5 جرام,25.0000,100,,,
PAMP10 Tola Purity 999,PAMP10 Tola Purity 999,45.0000,0,,,
Ring  26,خاتم طبعة النرات المربعه 2 ,6.0000,1,,,
ring 10,خاتم حبه البخي قياس 14/54/6.5,13.0000,1,,,
ring 11,دبلة المرايا قياس 23/63/20,10.0000,1,,,
ring 12,خاتم جسر جابر قياس 16/56/7.5,12.0000,1,,,
ring 13,خاتم ترنتي قياس 7/47/4,25.0000,1,,,
ring 14,خاتم مقمش لولو قياس 18/58/8,15.0000,1,,,
ring 14,ring 15,15.0000,1,,,
ring 15,خاتم ربع نيرة قياس 16/56/7.5,30.0000,1,,,
RING 16,خاتم مرايا  قياس 21\61\9,13.0000,1,,,
ring 16,خاتم اطار سبيكة 2.5 و 5 جرام وردة 16,20.0000,1,,,
ring 17,خاتم اطار نصف نيرة 17,20.0000,1,,,
ring 18,خاتم اطار ربع نيرة 18,25.0000,1,,,
ring 19,خاتم اطار 1 جرام 19,15.0000,1,,,
ring 2,دبله تاج الملكة قياس 53 / 13/ 6.5,15.0000,1,,,
ring 20,دبله قياس  60 /20  / 9 /19,12.0000,1,,,
ring 21,دبله قياس  58/18/8.5,11.5000,1,,,
ring 22,دبله قياس  62/22/10,12.5000,1,,,
ring 23,دبله قياس  58//18/8.5,11.8000,1,,,
ring 24,دبله قياس  63/23/10.5,13.6000,1,,,
ring 25,خاتم فري سايز 25 ,17.6000,1,,,
Ring 28,خاتم 28,8.0000,1,,,
Ring 29,خاتم 29,8.0000,1,,,
ring 3,خاتم مقمش لولو 2 قياس 54/14/7,0.0000,2,,,
ring 4,خاتم مقمش لولو 2 قياس 7.5/17/56,0.0000,15,,,
ring 5,خاتم 5,13.0000,1,,,
ring 6,دبلة رولكس ,14.0000,2,,,
ring 7,خاتم ( ترنتي) قياس 7/47/4,25.0000,1,,,
ring 8,خاتم الضاحية 8.5/19/59,15.0000,1,,,
ring 9,دبله,12.0000,1,,,
Rosa 1 gram Suisse,سبيكة 1 جرام سويسري روزا -الورده,10.5000,100,,,
Rosa 20 gram Suisse,سبيكة 20 جرام سويسري روزا -الورده,50.0000,1,,,
SABHA UAE 1,سبحة ( إماراتية ) برزاز سبائك 20جرام و 1 جرام,55.0000,1,,,
SHALL KUWAITI 1,شال كويتي 1,20.0000,2,,,
SHALL KUWAITI 2,شال كويتي 2,10.0000,1,,,
SHALL KUWAITI 3,شال كويتي 3,15.0000,2,,,
SHALL KUWAITI 4,شال كويتي 4,16.0000,1,,,
SHALL KUWAITI 5,شال كويتي 5,15.0000,1,,,
SHALL KUWAITI 6,شال كويتي 6,17.0000,2,,,
UAE Bracelet 10,انسيال 10,11.0000,0,,,
UAE Bracelet 11,انسيال 11,27.0000,2,,,
UAE Bracelet 12,انسيال 12,28.0000,1,,,
UAE Bracelet 13,انسيال 13,24.0000,0,,,
UAE Bracelet 14,انسيال 14,27.0000,1,,,
UAE Bracelet 15,انسيال 15,19.0000,0,,,
UAE Bracelet 2,انسيال ( حب البنك ) 2,18.0000,1,,,
UAE Bracelet 3,انسيال ( حب البنك ) 3,17.0000,1,,,
UAE Bracelet 4,انسيال ليزر ,17.0000,1,,,
UAE Bracelet 5,UAE Breclet 5,27.5000,0,,,
UAE Bracelet 6,انسيال ( طبعة العروسة) 6,14.0000,2,,,
UAE Bracelet 7,انسيال ( طبعة العروسة) 7,12.0000,1,,,
UAE Bracelet 8,انسيال ( طبعة العروسة) 8,12.0000,1,,,
UAE Bracelet 9,UAE Breclet 9,20.0000,2,,,
